RM,58,7042,false,right,true,0,1,0,0,0,0,0,X,2,0,0,0,1,0,2,SUBSTATION,6,E,2,2,x,false,false,false,Quick and good at pick up
MV,58,3616,false,right,true,0,1,0,0,0,0,0,X,0,1,3,1,1,0,0,SUBSTATION,4,E,2,1,x,false,false,false,Pretty good
DH,58,8046,false,middle,true,0,1,0,0,0,0,0,E,1,0,2,2,0,0,0,BOTH,6,E,2,2,x,false,false,false,Decent driving and scores on top and middle levels
BV,58,5907,false,middle,true,0,1,0,0,0,0,0,E,6,0,0,0,1,0,0,BOTH,4,P,2,1,2,false,false,false,Good driving good bot
DH,59,3749,false,left,true,1,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,1,X,2,x,x,true,false,false,Died after teleop
RM,59,3284,false,middle,true,0,0,0,0,0,0,1,E,0,0,0,0,0,4,0,X,2,E,2,2,x,false,false,false,Gathers and brings back pieces
Mc,59,9015,false,right,true,0,0,1,0,0,0,0,X,0,0,1,1,2,0,0,BOTH,2,E,2,3,x,false,false,false,undefined
MV,59,8739,false,right,true,0,0,0,0,1,0,0,X,0,0,0,0,3,2,0,GROUND,4,D,1,1,x,false,false,false,Could only push comes and cubes to bottom row
AF,59,6652,false,middle,false,0,1,0,0,0,0,0,E,0,1,0,2,1,0,1,X,4,X,0,2,x,false,false,false,Fast
BV,59,4003,false,left,true,1,0,0,0,1,0,0,X,3,0,2,0,1,0,0,BOTH,4,P,2,2,2,false,false,false,Very ginormicus.
AF,60,6995,false,left,true,2,0,0,0,0,0,0,X,1,2,2,0,0,0,0,BOTH,5,X,2,1,x,false,false,false,Nice small but good
MV,60,2945,false,right,true,0,1,0,0,0,0,0,X,0,0,1,0,0,6,0,GROUND,5,E,2,1,x,false,false,false,Pretty good but seems like it won't be able to get top row
DH,60,3489,false,left,false,0,0,0,0,0,1,0,X,0,0,2,0,0,0,1,SUBSTATION,2,D,1,3,x,false,false,false,Slow and has hard time picking up objects and died.and came back.mid match
BV,60,6413,false,middle,false,0,0,0,0,0,0,0,X,3,0,0,0,2,0,0,BOTH,5,E,2,2,3,false,false,false,"Good at the end, at the start it only did bottom"
